"Name","College","NerdScore","Vision","Patience","Elusiveness","Break Tackle","Game Speed","Burst/Acceleration","Quickness","Contact Balance","Pad Level","Physicality/Power","Receiving","Pass Pro"
"Ashton Jeanty","Boise State","81.99","70.00","65.00","80.00","92.50","80.00","77.50","82.50","100.00","82.50","85.00","80.00","75.00"
"TreVeyon Henderson","Ohio State","77.16","72.50","70.00","77.50","67.50","85.00","87.50","82.50","72.50","72.50","70.00","82.50","90.00"
"Omarion Hampton","North Carolina","76.86","82.50","80.00","62.50","82.50","75.00","72.50","62.50","82.50","70.00","92.50","75.00","80.00"
"Quinshon Judkins","Ohio State","76.69","77.50","65.00","72.50","80.00","75.00","77.50","75.00","82.50","70.00","87.50","67.50","72.50"
"Cam Skattebo","Arizona State","74.29","85.00","77.50","72.50","85.00","47.50","57.50","67.50","95.00","75.00","82.50","80.00","60.00"
"Kaleb Johnson","Iowa","73.21","75.00","62.50","70.00","80.00","67.50","70.00","70.00","82.50","50.00","85.00","70.00","65.00"
"Bhayshul Tuten","Virginia Tech","72.96","70.00","65.00","75.00","65.00","90.00","87.50","75.00","65.00","72.50","65.00","67.50","62.50"
"Kyle Monangai","Rutgers","72.88","77.50","75.00","72.50","80.00","55.00","72.50","70.00","82.50","75.00","85.00","55.00","57.50"
"Dylan Sampson","Tennessee","72.83","80.00","77.50","85.00","60.00","82.50","82.50","85.00","67.50","75.00","42.50","72.50","65.00"
"Devin Neal","Kansas","72.13","82.50","87.50","70.00","75.00","55.00","62.50","72.50","77.50","77.50","75.00","75.00","62.50"
"Lequint Allen","Syracuse","71.99","70.00","70.00","67.50","72.50","67.50","75.00","70.00","67.50","52.50","80.00","87.50","62.50"
"Damien Martinez","Miami","71.68","82.50","85.00","65.00","82.50","52.50","57.50","62.50","82.50","65.00","90.00","62.50","70.00"
"Ollie Gordon II","Oklahoma State","71.68","75.00","65.00","50.00","80.00","67.50","67.50","62.50","82.50","50.00","95.00","67.50","82.50"
"RJ Harvey","UCF","71.46","72.50","67.50","85.00","65.00","70.00","72.50","80.00","72.50","82.50","62.50","67.50","60.00"
"Jordan James","Oregon","71.10","85.00","72.50","70.00","70.00","65.00","62.50","72.50","75.00","82.50","70.00","70.00","70.00"
"Montrell Johnson","Florida","70.44","72.50","70.00","67.50","72.50","70.00","67.50","65.00","75.00","75.00","77.50","65.00","65.00"
"Jarquez Hunter","Auburn","70.43","75.00","70.00","65.00","72.50","65.00","67.50","67.50","75.00","75.00","75.00","70.00","70.00"
"Trevor Etienne","Georgia","70.35","75.00","72.50","80.00","65.00","67.50","70.00","77.50","67.50","75.00","62.50","70.00","65.00"
"Brashard Smith","SMU","70.05","55.00","70.00","85.00","60.00","85.00","80.00","85.00","60.00","60.00","50.00","85.00","50.00"
"Lan Larison","UC Davis","69.98","75.00","75.00","70.00","60.00","65.00","65.00","80.00","70.00","65.00","70.00","85.00","65.00"
"Antario Brown","Northern Illinois","69.65","75.00","80.00","70.00","70.00","70.00","70.00","70.00","65.00","75.00","65.00","65.00","65.00"
"Tahj Brooks","Texas Tech","69.26","67.50","92.50","70.00","72.50","60.00","57.50","65.00","75.00","70.00","80.00","65.00","70.00"
"DJ Giddens","Kansas State","69.15","80.00","72.50","82.50","70.00","72.50","75.00","77.50","62.50","47.50","55.00","52.50","45.00"
"Jaydon Blue","Texas","69.14","57.50","65.00","80.00","67.50","82.50","82.50","75.00","55.00","62.50","47.50","80.00","62.50"
"Marcus Yarns","Delaware","68.58","70.00","72.50","80.00","52.50","82.50","85.00","80.00","50.00","75.00","42.50","77.50","55.00"
"Donovan Edwards","Michigan","67.90","72.50","72.50","52.50","52.50","80.00","77.50","65.00","55.00","65.00","75.00","80.00","77.50"
"Kalel Mullings","Michigan","63.79","75.00","65.00","42.50","80.00","52.50","50.00","52.50","75.00","60.00","90.00","47.50","77.50"
"Ja'Quinden Jackson","Arkansas","63.16","60.00","67.50","57.50","70.00","55.00","52.50","55.00","65.00","52.50","87.50","65.00","70.00"
"Jo'Quavius (Woody) Marks","USC","61.81","65.00","75.00","72.50","42.50","65.00","67.50","72.50","47.50","72.50","50.00","72.50","60.00"
"Phil Mafah","Clemson","61.29","75.00","70.00","37.50","67.50","60.00","55.00","45.00","62.50","47.50","82.50","60.00","70.00"
"Raheim Sanders","South Carolina","59.66","55.00","60.00","42.50","75.00","52.50","50.00","40.00","75.00","42.50","80.00","65.00","70.00"