"Name","College","NerdScore","Release","Route Running","Hands","Contested Catch","Catch Radius","Body Control","Physicality","Ball Tracking","YAC","Game Speed","Burst","Quickness"
"Travis Hunter","Colorado","79.16","67.50","60.00","82.50","85.00","82.50","97.50","77.50","85.00","85.00","82.50","85.00","82.50"
"Tetairoa McMillan","Arizona","76.13","52.50","75.00","87.50","90.00","97.50","87.50","77.50","85.00","70.00","67.50","62.50","70.00"
"Emeka Egbuka","Ohio State","75.85","75.00","82.50","80.00","75.00","67.50","80.00","75.00","80.00","67.50","70.00","75.00","75.00"
"Jaylin Noel","Iowa State","74.54","60.00","72.50","72.50","62.50","60.00","80.00","65.00","72.50","75.00","87.50","90.00","85.00"
"Jalen Royals","Utah State","74.50","72.50","70.00","77.50","80.00","65.00","75.00","77.50","72.50","80.00","75.00","77.50","80.00"
"Jayden Higgins","Iowa State","74.16","62.50","80.00","87.50","85.00","95.00","77.50","70.00","72.50","50.00","65.00","67.50","57.50"
"Kyle Williams","Washington State","73.66","80.00","72.50","57.50","62.50","65.00","72.50","60.00","77.50","85.00","85.00","90.00","87.50"
"Luther Burden III","Missouri","73.66","60.00","52.50","72.50","70.00","70.00","85.00","82.50","80.00","92.50","80.00","85.00","85.00"
"Tre Harris","Ole Miss","73.48","67.50","67.50","70.00","82.50","85.00","77.50","85.00","85.00","72.50","77.50","72.50","65.00"
"Matthew Golden","Texas","73.44","50.00","75.00","77.50","60.00","57.50","80.00","47.50","77.50","70.00","90.00","85.00","82.50"
"Jack Bech","TCU","72.90","67.50","67.50","82.50","82.50","82.50","80.00","85.00","85.00","67.50","67.50","62.50","60.00"
"Xavier Restrepo","Miami","72.89","62.50","85.00","85.00","82.50","57.50","80.00","75.00","77.50","60.00","55.00","65.00","77.50"
"Daniel Jackson","Minnesota","72.88","85.00","80.00","77.50","75.00","65.00","75.00","72.50","75.00","52.50","65.00","67.50","77.50"
"Tory Horton","Colorado State","72.80","67.50","72.50","82.50","72.50","82.50","77.50","65.00","72.50","60.00","77.50","67.50","62.50"
"Tai Felton","Maryland","72.68","70.00","75.00","65.00","57.50","65.00","72.50","50.00","62.50","75.00","90.00","87.50","85.00"
"Isaiah Bond","Texas","72.25","67.50","72.50","70.00","45.00","47.50","67.50","52.50","77.50","75.00","92.50","92.50","80.00"
"Dont'e Thornton","Tennessee","71.00","55.00","52.50","72.50","70.00","85.00","70.00","72.50","77.50","62.50","92.50","82.50","67.50"
"Elijhah Badger","Florida","70.18","45.00","60.00","80.00","75.00","70.00","75.00","70.00","75.00","80.00","75.00","70.00","75.00"
"Elijhah Badger","Florida","70.18","45.00","60.00","80.00","75.00","70.00","75.00","70.00","75.00","80.00","75.00","70.00","75.00"
"Jimmy Horn Jr.","Colorado","69.73","57.50","72.50","67.50","67.50","47.50","72.50","42.50","75.00","77.50","82.50","80.00","82.50"
"Dominic Lovett","Georgia","67.88","65.00","70.00","45.00","60.00","45.00","85.00","80.00","70.00","85.00","70.00","85.00","85.00"
"Bru McCoy","Tennessee","67.41","60.00","60.00","72.50","75.00","85.00","67.50","95.00","70.00","57.50","67.50","62.50","55.00"
"Tez Johnson","Oregon","67.05","55.00","67.50","67.50","62.50","45.00","70.00","35.00","72.50","80.00","75.00","77.50","85.00"
"Savion Williams","TCU","66.89","57.50","50.00","55.00","72.50","82.50","75.00","82.50","55.00","77.50","80.00","77.50","75.00"
"Pat Bryant","Illinois","66.68","65.00","65.00","82.50","77.50","82.50","75.00","85.00","75.00","55.00","52.50","47.50","47.50"
"Nick Nash","San Jose St.","65.15","45.00","65.00","80.00","80.00","80.00","80.00","80.00","75.00","55.00","50.00","50.00","50.00"
"Elic Ayomanor","Stanford","65.03","72.50","75.00","62.50","65.00","67.50","57.50","80.00","55.00","50.00","65.00","60.00","70.00"
"Ricky White","UNLV","63.24","65.00","67.50","65.00","55.00","62.50","70.00","55.00","70.00","55.00","62.50","62.50","60.00"
"Antwane Wells Jr.","Ole Miss","61.35","57.50","55.00","65.00","60.00","72.50","65.00","77.50","62.50","70.00","55.00","57.50","57.50"
"Ja'Corey Brooks","Louisville","61.20","50.00","65.00","60.00","75.00","75.00","70.00","70.00","85.00","65.00","55.00","45.00","50.00"
"LaJohntay Webster","Colorado","60.20","55.00","65.00","45.00","40.00","40.00","80.00","50.00","70.00","75.00","70.00","70.00","70.00"
"Roc Taylor","Memphis","56.53","40.00","50.00","60.00","75.00","70.00","70.00","60.00","60.00","50.00","60.00","50.00","50.00"